year,num_ec,1_ec,-1_ec,sum_mood_ec,num_cb,1_cb,-1_cb,sum_mood_cb,mood_ec,mood_cb,mood_cb_without_mood_ec,indicator,indicator2
2014,3195,381,1986,-1393.69128774726,2746,307,1687,-1205.54135719125,-0.4362101057111925,-0.4390172458817371,-0.0028071401705445642,0.4992982149573639,0.4999495638555782
2015,4527,492,2924,-2125.8168125583,3102,346,1930,-1395.58270983337,-0.4695862188111995,-0.4498977143241038,0.019688504487095693,0.5049221261217739,0.506645704966419
2016,5264,576,3397,-2450.77914630227,4738,495,3054,-2247.6505922084143,-0.4655735460300665,-0.47438805238674847,-0.008814506356681961,0.4977963734108295,0.4989507366875331
2017,3570,362,2233,-1618.052701182145,2450,243,1449,-1058.2960481621,-0.45323605075130113,-0.4319575706784082,0.021278480072892958,0.5053196200182233,0.5079611844737895
2018,5753,645,3433,-2407.77049449922,3016,311,1789,-1260.99868622105,-0.4185243341733392,-0.41810301267276195,0.00042132150057722084,0.5001053303751443,0.49864091782813347
2019,4235,483,2548,-1767.02789354943,2312,232,1388,-999.0917018974,-0.41724389458073907,-0.43213308905596887,-0.014889194475229794,0.49627770138119254,0.496900826446281
2020,5084,565,2989,-2076.230645750269,2890,316,1739,-1221.28139252869,-0.4083852568352221,-0.42258871713795504,-0.014203460302732951,0.49644913492431675,0.49610059648425486
2021,6254,642,3898,-2819.563015311951,3219,308,2033,-1481.72756905232,-0.45084154386184055,-0.46030679374101274,-0.009465249879172188,0.497633687530207,0.4961865226385589
2022,31795,4226,18366,-12191.254856738877,14320,1812,8482,-5750.384329562586,-0.3834330824575838,-0.40156315150576716,-0.018130069048183373,0.49546748273795416,0.4947354725761491
2023,58015,7979,34130,-22651.388133009692,18654,2484,11052,-7467.620523876996,-0.39044019879358255,-0.40032274707178067,-0.009882548278198122,0.49752936293045047,0.4978627644989385
2024,72779,8699,43016,-29655.106490768358,17086,2113,10042,-6905.072012826034,-0.4074679027022679,-0.40413625265281716,0.0033316500494507406,0.5008329125123627,0.5018648082280437
